event_id,event_type,trigger_ts,trigger_source,reaction_ts,reaction_type,solved_ts,related_machine_id,related_alert_id,resolution_time_ms,total_response_time_ms,metadata
newMachine:machine_2:1763904572952,newMachine,1763904572952,cutting_machine_discovery,1763904587980,AssignBlade,1763904592966,2,,15028,20014,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_3:1763904572974,newMachine,1763904572974,cutting_machine_discovery,1763904578003,AssignBlade,1763904582981,3,,5029,10007,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763904572980,newMachine,1763904572980,cutting_machine_discovery,1763904578006,AssignBlade,1763904582981,0,,5026,10001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763904572980,newMachine,1763904572980,cutting_machine_discovery,1763904588037,AssignBlade,1763904592984,1,,15057,20004,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_4:1763904573077,newMachine,1763904573077,cutting_machine_discovery,1763904593089,AssignBlade,1763904598086,4,,20012,25009,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763904592966,machineFailure,1763904592966,heartbeat_monitor,1763904679661,SwapBlade,1763904681670,2,,86695,88704,"{""swap_target_machine"": 4}"
storageAlert:5e348c94-4ec0-4ee8-80fe-9bfc54197e6e:problem_A:1763904606426,storageAlert,1763904606426,dbInterface,1763904606476,SwapBlade,1763904608008,,5e348c94-4ec0-4ee8-80fe-9bfc54197e6e,50,1582,"{""triggerTs"": 1763904606426, ""bDry"": 83.0, ""problemCategory"": ""A"", ""bFresh"": 47.0, ""aDry"": 35.0, ""aFresh"": 35.0, ""alertId"": ""5e348c94-4ec0-4ee8-80fe-9bfc54197e6e"", ""title"": ""StorageAlert"", ""_collected_at"": 1763904606473}"
newMachine:machine_2:1763904630453,newMachine,1763904630453,cutting_machine_discovery,1763904685576,AssignBlade,1763904690487,2,,55123,60034,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763904640737,newMachine,1763904640737,cutting_machine_discovery,1763904665770,AssignBlade,1763904670762,1,,25033,30025,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_3:1763904648006,machineFailure,1763904648006,heartbeat_monitor,1763904654644,SwapBlade,1763904656649,3,,6638,8643,"{""swap_target_machine"": 0}"
newMachine:machine_4:1763904655758,newMachine,1763904655758,cutting_machine_discovery,1763904655763,AssignBlade,1763904660760,4,,5,5002,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:20ce331e-0307-4a13-9047-1eee3f7d0b7d:problem_fresh:1763904666483,storageAlert,1763904666483,dbInterface,1763904865151,ChangeFreshAmount,1763904892364,,20ce331e-0307-4a13-9047-1eee3f7d0b7d,198668,225881,"{""triggerTs"": 1763904666483, ""bDry"": 91.0, ""problemCategory"": ""fresh"", ""bFresh"": 33.0, ""aDry"": 44.0, ""aFresh"": 32.0, ""alertId"": ""20ce331e-0307-4a13-9047-1eee3f7d0b7d"", ""title"": ""StorageAlert"", ""_collected_at"": 1763904666491}"
newMachine:machine_3:1763904685942,newMachine,1763904685942,cutting_machine_discovery,1763904695949,AssignBlade,1763904700947,3,,10007,15005,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763904690487,machineFailure,1763904690487,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,2,,1616003,1618012,"{""swap_target_machine"": 1}"
newMachine:machine_0:1763904701064,newMachine,1763904701064,cutting_machine_discovery,1763904775613,AssignBlade,1763904776622,0,,74549,75558,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763904711245,newMachine,1763904711245,cutting_machine_discovery,1763904775613,AssignBlade,1763904866955,2,,64368,155710,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763904726258,machineFailure,1763904726258,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,2,,1580232,1582241,"{""swap_target_machine"": 1}"
machineFailure:machine_2:1763904766641,machineFailure,1763904766641,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,2,,1539849,1541858,"{""swap_target_machine"": 1}"
machineFailure:machine_3:1763904811020,machineFailure,1763904811020,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,3,,1495470,1497479,"{""swap_target_machine"": 1}"
newMachine:machine_1:1763904821887,newMachine,1763904821887,cutting_machine_discovery,1763904865167,AssignBlade,1763904866909,1,,43280,45022,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_3:1763904842070,newMachine,1763904842070,cutting_machine_discovery,1763904865167,AssignBlade,1763905249950,3,,23097,407880,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_3:1763904852072,machineFailure,1763904852072,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,3,,1454418,1456427,"{""swap_target_machine"": 1}"
newMachine:machine_4:1763904872325,newMachine,1763904872325,cutting_machine_discovery,1763904877341,AssignBlade,1763904882332,4,,5016,10007,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:1cbe390c-8834-41b7-a97d-edb92ca3ced2:problem_dry:1763904896577,storageAlert,1763904896577,dbInterface,1763904919605,ChangeFreshAmount,1763904972760,,1cbe390c-8834-41b7-a97d-edb92ca3ced2,23028,76183,"{""triggerTs"": 1763904896577, ""bDry"": 19.0, ""problemCategory"": ""dry"", ""bFresh"": 84.0, ""aDry"": 42.0, ""aFresh"": 55.0, ""alertId"": ""1cbe390c-8834-41b7-a97d-edb92ca3ced2"", ""title"": ""StorageAlert"", ""_collected_at"": 1763904896581}"
newMachine:machine_1:1763904907483,newMachine,1763904907483,cutting_machine_discovery,1763904919611,AssignBlade,1763904922493,1,,12128,15010,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763904912744,newMachine,1763904912744,cutting_machine_discovery,1763904919612,AssignBlade,1763904922751,0,,6868,10007,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_4:1763904932719,newMachine,1763904932719,cutting_machine_discovery,1763904964613,AssignBlade,1763904967743,4,,31894,35024,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763904941993,machineFailure,1763904941993,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,2,,1364497,1366506,"{""swap_target_machine"": 1}"
newMachine:machine_0:1763904947828,newMachine,1763904947828,cutting_machine_discovery,1763904964612,AssignBlade,1763904967843,0,,16784,20015,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_3:1763904957531,machineFailure,1763904957531,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,3,,1348959,1350968,"{""swap_target_machine"": 1}"
newMachine:machine_2:1763904983234,newMachine,1763904983234,cutting_machine_discovery,1763905009617,AssignBlade,1763905013271,2,,26383,30037,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_3:1763904998396,newMachine,1763904998396,cutting_machine_discovery,1763905009620,AssignBlade,1763905013402,3,,11224,15006,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763905008403,newMachine,1763905008403,cutting_machine_discovery,1763905009619,AssignBlade,1763905013404,0,,1216,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763905023275,machineFailure,1763905023275,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,2,,1283215,1285224,"{""swap_target_machine"": 1}"
newMachine:machine_4:1763905038811,newMachine,1763905038811,cutting_machine_discovery,1763905054613,AssignBlade,1763905058822,4,,15802,20011,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763905048793,newMachine,1763905048793,cutting_machine_discovery,1763905054614,AssignBlade,1763905058798,2,,5821,10005,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763905063798,machineFailure,1763905063798,heartbeat_monitor,1763906306490,SwapBlade,1763906308499,2,,1242692,1244701,"{""swap_target_machine"": 1}"
newMachine:machine_0:1763905063898,newMachine,1763905063898,cutting_machine_discovery,1763905099615,AssignBlade,1763905119308,0,,35717,55410,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763905099044,newMachine,1763905099044,cutting_machine_discovery,1763905134076,AssignBlade,1763905139066,2,,35032,40022,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_4:1763905139330,newMachine,1763905139330,cutting_machine_discovery,1763905139341,AssignBlade,1763905144332,4,,11,5002,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763905154477,newMachine,1763905154477,cutting_machine_discovery,1763905209523,AssignBlade,1763905214511,1,,55046,60034,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
