event_id,event_type,trigger_ts,trigger_source,reaction_ts,reaction_type,solved_ts,related_machine_id,related_alert_id,resolution_time_ms,total_response_time_ms,metadata
newMachine:machine_0:1763823570311,newMachine,1763823570311,cutting_machine_discovery,1763823570355,AssignBlade,1763823575311,0,,44,5000,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763823570332,newMachine,1763823570332,cutting_machine_discovery,1763823570360,AssignBlade,1763823575333,1,,28,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763823570340,newMachine,1763823570340,cutting_machine_discovery,1763823570364,AssignBlade,1763823575341,2,,24,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:b2ed446a-e1dc-4fdf-aced-256e810ae192:problem_B:1763823595496,storageAlert,1763823595496,dbInterface,1763823595564,SwapBlade,1763823605389,,b2ed446a-e1dc-4fdf-aced-256e810ae192,68,9893,"{""triggerTs"": 1763823595496, ""bDry"": 36.0, ""problemCategory"": ""B"", ""bFresh"": 29.0, ""aDry"": 83.0, ""aFresh"": 52.0, ""alertId"": ""b2ed446a-e1dc-4fdf-aced-256e810ae192"", ""title"": ""StorageAlert"", ""_collected_at"": 1763823595559}"
newMachine:machine_2:1763823631289,newMachine,1763823631289,cutting_machine_discovery,1763823646300,AssignBlade,1763823651292,2,,15011,20003,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763823666762,newMachine,1763823666762,cutting_machine_discovery,1763823666774,AssignBlade,1763823671763,0,,12,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763823675339,machineFailure,1763823675339,heartbeat_monitor,1763824080295,SwapBlade,1763824082299,1,,404956,406960,"{""swap_target_machine"": 2}"
newMachine:machine_1:1763823702215,newMachine,1763823702215,cutting_machine_discovery,1763823914480,AssignBlade,1763823914762,1,,212265,212547,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763823742826,newMachine,1763823742826,cutting_machine_discovery,1763823824471,AssignBlade,1763823828342,2,,81645,85516,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763823802222,machineFailure,1763823802222,heartbeat_monitor,1763824080295,SwapBlade,1763824082299,1,,278073,280077,"{""swap_target_machine"": 2}"
machineFailure:machine_1:1763823833829,machineFailure,1763823833829,heartbeat_monitor,1763824080295,SwapBlade,1763824082299,1,,246466,248470,"{""swap_target_machine"": 2}"
machineFailure:machine_1:1763823864297,machineFailure,1763823864297,heartbeat_monitor,1763824080295,SwapBlade,1763824082299,1,,215998,218002,"{""swap_target_machine"": 2}"
storageAlert:18053cd0-2d41-45b8-abec-33af30cb7817:problem_fresh:1763823935597,storageAlert,1763823935597,dbInterface,1763823935603,ChangeFreshAmount,1763823944784,,18053cd0-2d41-45b8-abec-33af30cb7817,6,9187,"{""triggerTs"": 1763823935597, ""bDry"": 48.0, ""problemCategory"": ""fresh"", ""bFresh"": 18.0, ""aDry"": 100.0, ""aFresh"": 34.0, ""alertId"": ""18053cd0-2d41-45b8-abec-33af30cb7817"", ""title"": ""StorageAlert"", ""_collected_at"": 1763823935769}"
newMachine:machine_0:1763823955189,newMachine,1763823955189,cutting_machine_discovery,1763823962973,AssignBlade,1763823965190,0,,7784,10001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:eca83b8f-084e-48d2-b157-15a5b77a92f9:problem_dry:1763823975607,storageAlert,1763823975607,dbInterface,1763823975616,ChangeFreshAmount,1763823984785,,eca83b8f-084e-48d2-b157-15a5b77a92f9,9,9178,"{""triggerTs"": 1763823975607, ""bDry"": 12.0, ""problemCategory"": ""dry"", ""bFresh"": 73.0, ""aDry"": 16.0, ""aFresh"": 99.0, ""alertId"": ""eca83b8f-084e-48d2-b157-15a5b77a92f9"", ""title"": ""StorageAlert"", ""_collected_at"": 1763823975612}"
newMachine:machine_0:1763823995675,newMachine,1763823995675,cutting_machine_discovery,1763824058981,AssignBlade,1763824060680,0,,63306,65005,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:381f5325-a063-415a-b3f4-7e153a0479db:problem_dry:1763824025615,storageAlert,1763824025615,dbInterface,1763824058472,ChangeFreshAmount,1763824080702,,381f5325-a063-415a-b3f4-7e153a0479db,32857,55087,"{""triggerTs"": 1763824025615, ""bDry"": 37.0, ""problemCategory"": ""dry"", ""bFresh"": 88.0, ""aDry"": 26.0, ""aFresh"": 49.0, ""alertId"": ""381f5325-a063-415a-b3f4-7e153a0479db"", ""title"": ""StorageAlert"", ""_collected_at"": 1763824025618}"
newMachine:machine_2:1763824031191,newMachine,1763824031191,cutting_machine_discovery,1763824076900,AssignBlade,1763824081895,2,,45709,50704,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763824069768,machineFailure,1763824069768,heartbeat_monitor,1763824080295,SwapBlade,1763824082299,1,,10527,12531,"{""swap_target_machine"": 2}"
newMachine:machine_1:1763824097093,newMachine,1763824097093,cutting_machine_discovery,1763824102100,AssignBlade,1763824612745,1,,5007,515652,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:47ba5a7b-2e28-4378-b7d0-2ac7e0662e02:problem_fresh:1763824155633,storageAlert,1763824155633,dbInterface,1763824742853,ChangeFreshAmount,1763824775987,,47ba5a7b-2e28-4378-b7d0-2ac7e0662e02,587220,620354,"{""triggerTs"": 1763824155633, ""bDry"": 81.0, ""problemCategory"": ""fresh"", ""bFresh"": 15.0, ""aDry"": 74.0, ""aFresh"": 30.0, ""alertId"": ""47ba5a7b-2e28-4378-b7d0-2ac7e0662e02"", ""title"": ""StorageAlert"", ""_collected_at"": 1763824155636}"
newMachine:machine_0:1763824234179,newMachine,1763824234179,cutting_machine_discovery,1763824453273,AssignBlade,1763824456595,0,,219094,222416,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763824264664,newMachine,1763824264664,cutting_machine_discovery,1763824426177,AssignBlade,1763824431170,2,,161513,166506,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763824518441,newMachine,1763824518441,cutting_machine_discovery,1763824607820,AssignBlade,1763824745050,2,,89379,226609,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763824548895,newMachine,1763824548895,cutting_machine_discovery,1763824607828,AssignBlade,1763824609390,0,,58933,60495,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763824705961,newMachine,1763824705961,cutting_machine_discovery,1763824765972,AssignBlade,1763824770964,0,,60011,65003,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_2:1763824781849,newMachine,1763824781849,cutting_machine_discovery,1763824802859,AssignBlade,1763825060462,2,,21010,278613,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:3785c0a7-c718-47c0-8810-3ffa099cb138:problem_dry:1763824785707,storageAlert,1763824785707,dbInterface,1763824785710,ChangeFreshAmount,1763825322875,,3785c0a7-c718-47c0-8810-3ffa099cb138,3,537168,"{""triggerTs"": 1763824785707, ""bDry"": 49.0, ""problemCategory"": ""dry"", ""bFresh"": 28.0, ""aDry"": 27.0, ""aFresh"": 96.0, ""alertId"": ""3785c0a7-c718-47c0-8810-3ffa099cb138"", ""title"": ""StorageAlert"", ""_collected_at"": 1763824785709}"
