event_id,event_type,trigger_ts,trigger_source,reaction_ts,reaction_type,solved_ts,related_machine_id,related_alert_id,resolution_time_ms,total_response_time_ms,metadata
newMachine:machine_2:1763915151544,newMachine,1763915151544,cutting_machine_discovery,1763915156553,AssignBlade,1763915161551,2,,5009,10007,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_0:1763915151554,newMachine,1763915151554,cutting_machine_discovery,1763915156601,AssignBlade,1763915161556,0,,5047,10002,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_1:1763915151589,newMachine,1763915151589,cutting_machine_discovery,1763915156602,AssignBlade,1763915161592,1,,5013,10003,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_3:1763915151591,newMachine,1763915151591,cutting_machine_discovery,1763915156599,AssignBlade,1763915161593,3,,5008,10002,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
newMachine:machine_4:1763915151713,newMachine,1763915151713,cutting_machine_discovery,1763915156722,AssignBlade,1763915161720,4,,5009,10007,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_4:1763915171731,machineFailure,1763915171731,heartbeat_monitor,1763915319521,SwapBlade,1763915321527,4,,147790,149796,"{""swap_target_machine"": 2}"
machineFailure:machine_1:1763915186605,machineFailure,1763915186605,heartbeat_monitor,1763915319522,SwapBlade,1763915321527,1,,132917,134922,"{""swap_target_machine"": 2}"
newMachine:machine_4:1763915195468,newMachine,1763915195468,cutting_machine_discovery,1763915308592,AssignBlade,1763915311012,4,,113124,115544,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_0:1763915211574,machineFailure,1763915211574,heartbeat_monitor,1763915329274,SwapBlade,1763915331279,0,,117700,119705,"{""swap_target_machine"": 4}"
newMachine:machine_1:1763915230524,newMachine,1763915230524,cutting_machine_discovery,1763915230529,AssignBlade,1763915310952,1,,5,80428,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763915230524,machineFailure,1763915230524,heartbeat_monitor,1763915319522,SwapBlade,1763915321527,1,,88998,91003,"{""swap_target_machine"": 2}"
newMachine:machine_0:1763915240601,newMachine,1763915240601,cutting_machine_discovery,1763915346452,AssignBlade,1763915351447,0,,105851,110846,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_4:1763915250495,machineFailure,1763915250495,heartbeat_monitor,1763915319521,SwapBlade,1763915321527,4,,69026,71032,"{""swap_target_machine"": 2}"
machineFailure:machine_2:1763915276612,machineFailure,1763915276612,heartbeat_monitor,1763915389880,SwapBlade,1763915391886,2,,113268,115274,"{""swap_target_machine"": 3}"
machineFailure:machine_3:1763915301652,machineFailure,1763915301652,heartbeat_monitor,1763915631029,SwapBlade,1763916006695,3,,329377,705043,"{""swap_target_machine"": 4}"
newMachine:machine_2:1763915306110,newMachine,1763915306110,cutting_machine_discovery,1763915336142,AssignBlade,1763915341130,2,,30032,35020,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_0:1763915315655,machineFailure,1763915315655,heartbeat_monitor,1763915329274,SwapBlade,1763915331279,0,,13619,15624,"{""swap_target_machine"": 4}"
newMachine:machine_3:1763915341438,newMachine,1763915341438,cutting_machine_discovery,1763915346448,AssignBlade,1763915351443,3,,5010,10005,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_2:1763915351142,machineFailure,1763915351142,heartbeat_monitor,1763915389880,SwapBlade,1763915391886,2,,38738,40744,"{""swap_target_machine"": 3}"
storageAlert:3f986c73-7206-4668-8e58-1dafb7a19a26:problem_B:1763915370813,storageAlert,1763915370813,dbInterface,1763915370826,SwapBlade,1763915401487,,3f986c73-7206-4668-8e58-1dafb7a19a26,13,30674,"{""triggerTs"": 1763915370813, ""bDry"": 38.0, ""problemCategory"": ""B"", ""bFresh"": 27.0, ""aDry"": 85.0, ""aFresh"": 50.0, ""alertId"": ""3f986c73-7206-4668-8e58-1dafb7a19a26"", ""title"": ""StorageAlert"", ""_collected_at"": 1763915370821}"
newMachine:machine_2:1763915376725,newMachine,1763915376725,cutting_machine_discovery,1763915391751,AssignBlade,1763915396738,2,,15026,20013,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_1:1763915385992,machineFailure,1763915385992,heartbeat_monitor,1763916904046,SwapBlade,1763919264010,1,,1518054,3878018,"{""swap_target_machine"": 4}"
newMachine:machine_4:1763915396719,newMachine,1763915396719,cutting_machine_discovery,1763915396733,AssignBlade,1763915401720,4,,14,5001,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
storageAlert:427d01c1-2f7c-4d0c-965e-4d557b230878:problem_fresh:1763915400827,storageAlert,1763915400827,dbInterface,1763915420653,ChangeFreshAmount,1763915421482,,427d01c1-2f7c-4d0c-965e-4d557b230878,19826,20655,"{""triggerTs"": 1763915400827, ""bDry"": 47.0, ""problemCategory"": ""fresh"", ""bFresh"": 27.0, ""aDry"": 82.0, ""aFresh"": 44.0, ""alertId"": ""427d01c1-2f7c-4d0c-965e-4d557b230878"", ""title"": ""StorageAlert"", ""_collected_at"": 1763915400833}"
machineFailure:machine_2:1763915406743,machineFailure,1763915406743,heartbeat_monitor,1763916039150,SwapBlade,1763916041161,2,,632407,634418,"{""swap_target_machine"": 0}"
storageAlert:43e8354d-012e-4aef-96e0-84743822dee0:problem_A:1763915420835,storageAlert,1763915420835,dbInterface,1763915420837,SwapBlade,1763915442050,,43e8354d-012e-4aef-96e0-84743822dee0,2,21215,"{""triggerTs"": 1763915420835, ""bDry"": 106.0, ""problemCategory"": ""A"", ""bFresh"": 59.0, ""aDry"": 26.0, ""aFresh"": 9.0, ""alertId"": ""43e8354d-012e-4aef-96e0-84743822dee0"", ""title"": ""StorageAlert"", ""_collected_at"": 1763915420839}"
newMachine:machine_1:1763915427022,newMachine,1763915427022,cutting_machine_discovery,1763915432037,AssignBlade,1763915437026,1,,5015,10004,"{""first_state"": ""WAITING_FOR_ASSIGNMENT""}"
machineFailure:machine_0:1763915431475,machineFailure,1763915431475,heartbeat_monitor,1763915626027,SwapBlade,1763915628039,0,,194552,196564,"{""swap_target_machine"": 4}"
