event_type,5m_1k,5m_2k,5m_3k,5m_4k,3m_1k,3m_2k
machineFailure,981.465,1304.1848076923077,814.026925925926,887.3756,804.1887222222223,2511.02650877193
newMachine,107.78376923076924,117.92285245901638,85.33331343283581,124.85735897435897,107.89850909090909,119.29110526315789
storageAlert,138.929,219.4428076923077,172.01783333333336,158.0405294117647,175.25433333333334,262.0454
